model_name,fold_id,n_train,n_test,train_mae,train_rmse,train_r2,mae,rmse,r2,mae_gap,rmse_gap
ridge,1,6,2,0.000800242766900087,0.0009653508372553598,0.9999071596345397,0.08233499892915164,0.10832829789887352,-1.7053991726066728,0.08153475616225155,0.10736294706161816
ridge,2,6,2,0.006406023833360049,0.010176959669185847,0.992449180030036,0.05927157671917416,0.07150569590333043,-2.6965903254375903,0.052865552885814106,0.06132873623414459
ridge,3,6,2,0.0063159667260231185,0.010080160729923975,0.9784316547162114,0.1754679576425333,0.19345104936904148,-5.73233546069945,0.1691519909165102,0.1833708886391175
ridge,4,7,1,0.005383633279781134,0.008977639286866079,0.9933614005360794,0.024671702455915767,0.024671702455915767,,0.019288069176134633,0.01569406316904969
ridge,5,7,1,0.005007779485730486,0.008782597476194098,0.9924837033173037,0.146603296074586,0.146603296074586,,0.14159551658885552,0.1378206985983919
random_forest,1,6,2,0.03517190173339968,0.0379939240218744,0.8561881126080626,0.111862816514813,0.12981109173898026,-2.884821950779219,0.07669091478141332,0.09181716771710585
random_forest,2,6,2,0.042922558679406864,0.049321957406485345,0.8226469684071989,0.05674893250623825,0.07738723710372897,-3.3297092219990407,0.013826373826831384,0.028065279697243622
random_forest,3,6,2,0.030750106638230634,0.03537535748669336,0.7343660453123134,0.16003354174939355,0.17906619298837514,-4.768338914793465,0.12928343511116291,0.14369083550168177
random_forest,4,7,1,0.040568868118282815,0.043690088935278114,0.8427762971616634,0.01005026529816977,0.01005026529816977,,-0.030518602820113046,-0.033639823637108345
random_forest,5,7,1,0.027066547424187633,0.03250517785608346,0.8970413000121418,0.14735770496768685,0.14735770496768685,,0.12029115754349923,0.1148525271116034
svr,1,6,2,0.06475273650002678,0.07174238718510312,0.4872352840562325,0.12758801746491943,0.14328334045847477,-3.7330262160776364,0.06283528096489266,0.07154095327337165
svr,2,6,2,0.0707331305199207,0.07686084422034987,0.569306507843621,0.04139199562158735,0.04498685989307745,-0.46315861178168816,-0.029341134898333343,-0.031873984327272425
svr,3,6,2,0.05638307467905268,0.06705509052415026,0.04556705991259469,0.17543770546102522,0.19080443312668702,-5.549384533712951,0.11905463078197254,0.12374934260253675
svr,4,7,1,0.06481804940081957,0.07221427433186671,0.5704652885246457,0.039691608855146665,0.039691608855146665,,-0.02512644054567291,-0.032522665476720045
svr,5,7,1,0.0560835821451645,0.06347580662709022,0.6073781963535999,0.14372622266161006,0.14372622266161006,,0.08764264051644556,0.08025041603451984
hist_gb,1,6,2,0.0861228156508695,0.11359697112295511,-0.2855826118576694,0.0658606849329646,0.08577526026352582,-0.6961786917880155,-0.020262130717904905,-0.02782171085942929
hist_gb,2,6,2,0.09897073636621574,0.1281243826851665,-0.19680000064141723,0.08349740290567897,0.09140569062989247,-5.040411365968249,-0.015473333460536767,-0.03671869205527402
hist_gb,3,6,2,0.054935887268309815,0.06937393980926834,-0.021585292042369808,0.16725477775647912,0.18311991040284217,-5.032463496252278,0.11231889048816932,0.11374597059357383
hist_gb,4,7,1,0.09379882803875035,0.11551023860088272,-0.0989884411932127,0.07704931910216928,0.07704931910216928,,-0.016749508936581073,-0.03846091949871344
hist_gb,5,7,1,0.08191895967841445,0.10271991760284069,-0.028175572513742253,0.14671501782832785,0.14671501782832785,,0.0647960581499134,0.043995100225487166
